id,date_list,time,probability,index
40,"['2009-02-14', '2009-03-23', '2009-04-11', '2009-02-15', '2009-02-21', '2009-03-15', '2009-04-08', '2009-03-07', '2009-02-09', '2009-04-12', '2009-04-10', '2009-03-25', '2009-03-12', '2009-02-17', '2009-05-14', '2009-02-20', '2009-03-24', '2009-02-24', '2009-05-13', '2009-02-13', '2009-03-10', '2009-05-04', '2009-03-26', '2009-03-09', '2009-05-16', '2009-02-10', '2009-04-07']",00:00,"[0.02127882599580713, 0.046859138983535914, 0.2384700853524231, 0.4841638379383668, 0.03798169762064754, 0.030120062400521758, 0.013417190775681341, 0.08840098483238759, 0.015723270440251572, 0.023584905660377357]",0
40,"['2009-02-14', '2009-03-23', '2009-04-11', '2009-02-15', '2009-02-21', '2009-03-15', '2009-04-08', '2009-03-07', '2009-02-09', '2009-04-12', '2009-04-10', '2009-03-25', '2009-03-12', '2009-02-17', '2009-05-14', '2009-02-20', '2009-03-24', '2009-02-24', '2009-05-13', '2009-02-13', '2009-03-10', '2009-05-04', '2009-03-26', '2009-03-09', '2009-05-16', '2009-02-10', '2009-04-07']",00:30,"[0.0, 0.020576131687242795, 0.286858237906806, 0.6308372353442226, 0.06172839506172839, 0.0, 0.0, 0.0, 0.0, 0.0]",0
40,"['2009-02-14', '2009-03-23', '2009-04-11', '2009-02-15', '2009-02-21', '2009-03-15', '2009-04-08', '2009-03-07', '2009-02-09', '2009-04-12', '2009-04-10', '2009-03-25', '2009-03-12', '2009-02-17', '2009-05-14', '2009-02-20', '2009-03-24', '2009-02-24', '2009-05-13', '2009-02-13', '2009-03-10', '2009-05-04', '2009-03-26', '2009-03-09', '2009-05-16', '2009-02-10', '2009-04-07']",01:00,"[0.0196078431372549, 0.049019607843137254, 0.09540721329563479, 0.4758522400753971, 0.12368399880468015, 0.07352941176470588, 0.0, 0.12858595958899385, 0.03431372549019608, 0.0]",0
40,"['2009-02-14', '2009-03-23', '2009-04-11', '2009-02-15', '2009-02-21', '2009-03-15', '2009-04-08', '2009-03-07', '2009-02-09', '2009-04-12', '2009-04-10', '2009-03-25', '2009-03-12', '2009-02-17', '2009-05-14', '2009-02-20', '2009-03-24', '2009-02-24', '2009-05-13', '2009-02-13', '2009-03-10', '2009-05-04', '2009-03-26', '2009-03-09', '2009-05-16', '2009-02-10', '2009-04-07']",01:30,"[0.027210884353741492, 0.12244897959183672, 0.10884353741496597, 0.24489795918367344, 0.16326530612244897, 0.11564625850340135, 0.013605442176870746, 0.14285714285714285, 0.06122448979591836, 0.0]",0
40,"['2009-02-14', '2009-03-23', '2009-04-11', '2009-02-15', '2009-02-21', '2009-03-15', '2009-04-08', '2009-03-07', '2009-02-09', '2009-04-12', '2009-04-10', '2009-03-25', '2009-03-12', '2009-02-17', '2009-05-14', '2009-02-20', '2009-03-24', '2009-02-24', '2009-05-13', '2009-02-13', '2009-03-10', '2009-05-04', '2009-03-26', '2009-03-09', '2009-05-16', '2009-02-10', '2009-04-07']",02:00,"[0.016129032258064516, 0.03225806451612903, 0.03225806451612903, 0.5806451612903226, 0.06451612903225806, 0.24193548387096775, 0.0, 0.03225806451612903, 0.0, 0.0]",0
40,"['2009-02-14', '2009-03-23', '2009-04-11', '2009-02-15', '2009-02-21', '2009-03-15', '2009-04-08', '2009-03-07', '2009-02-09', '2009-04-12', '2009-04-10', '2009-03-25', '2009-03-12', '2009-02-17', '2009-05-14', '2009-02-20', '2009-03-24', '2009-02-24', '2009-05-13', '2009-02-13', '2009-03-10', '2009-05-04', '2009-03-26', '2009-03-09', '2009-05-16', '2009-02-10', '2009-04-07']",02:30,"[0.050122266973532795, 0.10968066743383198, 0.14093066743383198, 0.303876582278481, 0.1816168009205984, 0.10968066743383198, 0.018872266973532795, 0.04453394706559264, 0.0406861334867664, 0.0]",0
40,"['2009-02-14', '2009-03-23', '2009-04-11', '2009-02-15', '2009-02-21', '2009-03-15', '2009-04-08', '2009-03-07', '2009-02-09', '2009-04-12', '2009-04-10', '2009-03-25', '2009-03-12', '2009-02-17', '2009-05-14', '2009-02-20', '2009-03-24', '2009-02-24', '2009-05-13', '2009-02-13', '2009-03-10', '2009-05-04', '2009-03-26', '2009-03-09', '2009-05-16', '2009-02-10', '2009-04-07']",03:00,"[0.02178332849259367, 0.04356665698518734, 0.22639016077418656, 0.509146579453372, 0.06670498949840062, 0.010891664246296834, 0.02178332849259367, 0.08884162781107248, 0.010891664246296834, 0.0]",0
40,"['2009-02-14', '2009-03-23', '2009-04-11', '2009-02-15', '2009-02-21', '2009-03-15', '2009-04-08', '2009-03-07', '2009-02-09', '2009-04-12', '2009-04-10', '2009-03-25', '2009-03-12', '2009-02-17', '2009-05-14', '2009-02-20', '2009-03-24', '2009-02-24', '2009-05-13', '2009-02-13', '2009-03-10', '2009-05-04', '2009-03-26', '2009-03-09', '2009-05-16', '2009-02-10', '2009-04-07']",03:30,"[0.0, 0.0, 0.6619718309859155, 0.33802816901408456, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
40,"['2009-02-14', '2009-03-23', '2009-04-11', '2009-02-15', '2009-02-21', '2009-03-15', '2009-04-08', '2009-03-07', '2009-02-09', '2009-04-12', '2009-04-10', '2009-03-25', '2009-03-12', '2009-02-17', '2009-05-14', '2009-02-20', '2009-03-24', '2009-02-24', '2009-05-13', '2009-02-13', '2009-03-10', '2009-05-04', '2009-03-26', '2009-03-09', '2009-05-16', '2009-02-10', '2009-04-07']",04:00,"[0.0, 0.07142857142857142, 0.4401384274640089, 0.28557585825027687, 0.0, 0.0, 0.0, 0.20285714285714285, 0.0, 0.0]",0
40,"['2009-02-14', '2009-03-23', '2009-04-11', '2009-02-15', '2009-02-21', '2009-03-15', '2009-04-08', '2009-03-07', '2009-02-09', '2009-04-12', '2009-04-10', '2009-03-25', '2009-03-12', '2009-02-17', '2009-05-14', '2009-02-20', '2009-03-24', '2009-02-24', '2009-05-13', '2009-02-13', '2009-03-10', '2009-05-04', '2009-03-26', '2009-03-09', '2009-05-16', '2009-02-10', '2009-04-07']",04:30,"[0.005916767411278434, 0.11523743162389502, 0.1689446524875868, 0.44211880048504676, 0.0623131902549925, 0.02845038488250071, 0.0075462206011822405, 0.13709366415778795, 0.029863481228668942, 0.002515406867060747]",0
