latitude,longitude
6727159.832693473,11460940.479416976
6727128.284280573,11461042.956841761
6727206.699287926,11461167.449956205
6727206.635625197,11461167.655546997
6727206.292136485,11461166.873269645
6727206.215886145,11461166.173744733
6727206.152223438,11461166.379335634
6727206.851788157,11461168.84900628
6727207.055363819,11461169.137349542
6727206.711875326,11461168.355072014
6727206.839200872,11461167.943890309
6727206.775538085,11461168.149481222
6727206.8258861145,11461171.769944973
6727207.36036292,11461171.935450217
6727207.602427762,11461170.207970638
6727207.258939416,11461169.425692944
6727207.195276562,11461169.631283864
6727208.658064808,11461174.365037065
6727209.128878565,11461174.73613356
6727208.314577103,11461173.582758881
6727207.436612452,11461172.634975465
6727207.907426267,11461173.006071735
6727211.024719422,11461177.125636796
6727210.897392991,11461177.536818843
6727210.350330433,11461176.466196196
6727209.536029258,11461175.312820978
6727209.943179851,11461175.889508607
6727211.177216964,11461178.524688613
6727211.317128823,11461179.018623669
6727211.2408801885,11461178.319097709
6727211.100968244,11461177.825162688
6727211.037305,11461178.030753713
6727212.00410265,11461180.583181873
6727212.080350981,11461181.282708002
6727211.800527576,11461180.294837737
6727211.457040688,11461179.512558632
6727211.596952507,11461180.006493626
6727213.301800978,11461183.012773257
6727213.772614391,11461183.383870717
6727212.894651041,11461182.436084665
6727212.283926024,11461181.571052074
6727212.42383761,11461182.064987341
6727214.5869141035,11461184.537248198
6727214.4595870245,11461184.948430317
6727214.383339201,11461184.24890376
6727213.976189331,11461183.672215082
6727214.447002697,11461184.043312762
6727214.942984376,11461186.224645942
6727215.146559201,11461186.512990367
6727214.73940956,11461185.93630141
6727214.5994982915,11461185.442365907
6727214.80307317,11461185.730710285
6727247.738466874,11461306.987595186
6727298.924035005,11461399.238807295
6727299.127599345,11461399.527165478
6727298.98770836,11461399.033214137
6727298.5805795975,11461398.456497977
6727298.784143956,11461398.744856104
6727299.941856621,11461400.680598194
6727299.87818319,11461400.886191376
6727299.738292308,11461400.392240046
6727299.598401401,11461399.898288615
6727299.801965716,11461400.186646864
6727300.488875969,11461401.751266234
6727300.6924402015,11461402.039624605
6727300.488875969,11461401.751266234
6727300.0817474555,11461401.174549684
6727300.285311745,11461401.462907888
6727301.303132839,11461402.904699732
6727301.2394593395,11461403.110292835
6727301.099568646,11461402.616341293
6727300.959677921,11461402.122389786
6727301.163242159,11461402.410748068
6727302.117389558,11461404.05813347
6727301.990042364,11461404.469319971
6727301.913825371,11461403.769775057
6727301.506697061,11461403.193058074
6727301.710261215,11461403.481416551
6727302.53706106,11461405.539988747
6727302.740625103,11461405.828347385
6727302.6007346725,11461405.334395606
6727302.25728007,11461404.552085277
6727302.397170588,11461405.046036994
6727303.020405812,11461406.816251164
6727303.020405812,11461406.816251164
6727302.753168103,11461406.733485729
6727302.676951431,11461406.033940649
6727302.613277788,11461406.239533786
6727303.03294865,11461407.72138945
6727303.236512592,11461408.009748213
6727303.160296097,11461407.31020303
6727302.9567321325,11461407.02184431
6727303.223969828,11461407.104609758
6727303.185381416,11461409.120479837
6727303.121707599,11461409.326073099
6727303.249055185,11461408.914886696
6727303.172838823,11461408.215341484
6727303.1091650855,11461408.420934627
6727303.668725265,11461410.396742838
6727303.605051428,11461410.60233599
6727303.465161456,11461410.108383946
6727303.325271432,11461409.614431934
6727303.261597631,11461409.820025075
6727303.961047062,11461412.289785694
6727304.164610738,11461412.578144705
6727303.821157254,11461411.795833556
6727303.477703657,11461411.013522519
6727303.414029796,11461411.219115654
6727288.790502761,11461437.701970648
6727582.589581243,11461510.301921751
6727593.101940589,11461510.403238427
6727600.559772299,11461510.910463931
6727596.43624923,11461510.985289648
6727567.406712876,11461509.204689743
6727563.346886675,11461509.073905986
6727570.8046911275,11461509.5811376
6727578.5297475,11461510.171139704
6727574.864521006,11461509.71192055
6727549.233030934,11461508.307753112
6727545.504137739,11461508.054135438
6727552.96192578,11461508.56137058
6727559.885231592,11461508.903061138
6727556.423577949,11461508.732216042
6727534.253788736,11461507.498882763
6727531.657556569,11461507.370746968
6727537.180945295,11461507.504187249
6727542.640657974,11461507.84322907
6727539.777179232,11461507.632322531
6727520.738149622,11461506.692659013
6727518.472844529,11461506.441691788
6727523.067134934,11461506.738024248
6727528.526838153,11461507.077068182
6727525.663364361,11461506.866160626
6727512.809584537,11461505.814273644
6727511.804291888,11461505.277587205
6727514.1457997905,11461506.228130106
6727516.7420263635,11461506.35626716
6727514.680285956,11461506.39367273
