ALL,Big,1,2,3,4,5,res,index,new_class_symbol
科教文化服务;学校;小学,科教文化服务,学校,小学,,,,科教文化,0,7
医疗保健服务;专科医院;整形美容,医疗保健服务,专科医院,整形美容,,,,医疗保健,1,0
科教文化服务;学校;成人教育,科教文化服务,学校,成人教育,,,,科教文化,2,7
公司企业;公司企业;公司企业|科教文化服务;科教文化场所;科教文化场所,公司企业,公司企业,公司企业|科教文化服务,科教文化场所,科教文化场所,,公司企业,3,5
科教文化服务;科教文化场所;科教文化场所,科教文化服务,科教文化场所,科教文化场所,,,,科教文化,4,7
商务住宅;住宅区;住宅区|餐饮服务;中餐厅;中餐厅,商务住宅,住宅区,住宅区|餐饮服务,中餐厅,中餐厅,,商务住宅,5,11
商务住宅;楼宇;楼宇相关|科教文化服务;科教文化场所;科教文化场所,商务住宅,楼宇,楼宇相关|科教文化服务,科教文化场所,科教文化场所,,商务住宅,6,11
风景名胜;公园广场;公园广场,风景名胜,公园广场,公园广场,,,,旅游景点,7,12
商务住宅;产业园区;产业园区,商务住宅,产业园区,产业园区,,,,商务住宅,8,11
科教文化服务;科研机构;科研机构|科教文化服务;图书馆;图书馆,科教文化服务,科研机构,科研机构|科教文化服务,图书馆,图书馆,,科教文化,9,7
生活服务;事务所;律师事务所|商务住宅;楼宇;商务写字楼,生活服务,事务所,律师事务所|商务住宅,楼宇,商务写字楼,,生活服务,10,13
商务住宅;住宅区;宿舍,商务住宅,住宅区,宿舍,,,,商务住宅,11,11
风景名胜;风景名胜;寺庙道观,风景名胜,风景名胜,寺庙道观,,,,旅游景点,12,12
科教文化服务;学校;职业技术学校|科教文化服务;培训机构;培训机构,科教文化服务,学校,职业技术学校|科教文化服务,培训机构,培训机构,,科教文化,13,7
风景名胜;公园广场;植物园|风景名胜;风景名胜;省级景点,风景名胜,公园广场,植物园|风景名胜,风景名胜,省级景点,,旅游景点,14,12
商务住宅;住宅区;住宅小区|交通设施服务;停车场;公共停车场,商务住宅,住宅区,住宅小区|交通设施服务,停车场,公共停车场,,商务住宅,15,11
医疗保健服务;专科医院;肿瘤医院,医疗保健服务,专科医院,肿瘤医院,,,,医疗保健,16,0
科教文化服务;学校;小学|科教文化服务;学校;中学,科教文化服务,学校,小学|科教文化服务,学校,中学,,科教文化,17,7
公司企业;公司;医药公司,公司企业,公司,医药公司,,,,公司企业,18,5
科教文化服务;美术馆;美术馆,科教文化服务,美术馆,美术馆,,,,科教文化,19,7
住宿服务;宾馆酒店;宾馆酒店|餐饮服务;中餐厅;中餐厅,住宿服务,宾馆酒店,宾馆酒店|餐饮服务,中餐厅,中餐厅,,酒店住宿,20,2
