id_C_20,name_C_254,type_C_100,addr_C_254,结构_C_50,面积_N_31_15,时间_C_20,装修_C_50,价格_N_31_15,gcj_lng_N_31_15,gcj_lat_N_31_15,wgs_lng_N_31_15,wgs_lat_N_31_15,bd_lng_N_31_15,bd_lat_N_31_15,gcj_shape_C_254,index,new_class,new_class_symbol
B0FFFL2LA4,四季花海农业产业加工区,公司企业;工厂;工厂,北京市延庆区四海,,,,,,116.355398,40.556366,116.349120764084,40.5548661068433,116.361978649539,40.562123124769,"116.354813,40.557027;116.355564,40.557133;116.355967,40.555654;116.355216,40.55556;116.354813,40.557027",0,公司企业,5
B0FFHDWUAI,新城菜市场(新城商厦店),购物服务;综合市场;综合市场,北京市通州区科创九街新城商厦1层,,,,,,116.565642,39.799312,116.559847448651,39.7982572019514,116.572213176647,39.8050510794761,"116.565123,39.799179;116.565264,39.799015;116.566146,39.799427;116.566009,39.799614;116.565123,39.799179",1,购物消费,3
B000A0081F,丰台区水利工程公司,公司企业;公司;公司,北京市丰台区卢沟桥城北路,,,,,,116.215131,39.868025,116.209067281078,39.8667898572,116.221765554522,39.8736940783162,"116.209738,39.872315;116.210722,39.872641;116.211,39.871939;116.212327,39.870838;116.21369,39.869696;116.215296,39.868346;116.216855,39.86693;116.216422,39.86686;116.216208,39.866848;116.215758,39.866813;116.215331,39.866683;116.214845,39.86647;116.21451",2,公司企业,5
B0FFG8VTCP,保利春天派,商务住宅;住宅区;住宅小区,北京市大兴区思邈路和新源大街交叉口西南角,,,2014.06.21,,,116.319003,39.669213,116.312919385987,39.6679411643306,116.325548263522,39.6750515331924,"116.318283,39.669894;116.318318,39.668296;116.319707,39.668364;116.319706,39.669935;116.319683,39.669997;116.319644,39.670039;116.319595,39.670075;116.31956,39.670096;116.319533,39.670107;116.319482,39.670118;116.319365,39.670142;116.318577,39.670085;116",3,商务住宅,11
B000AAC97Y,龙岗安居里,商务住宅;住宅区;住宅小区,北京市海淀区宝盛路与永泰庄东路交叉口西南200米,,,,,,116.362504,40.032722,116.356281019877,40.0313444480521,116.369038249692,40.0385844569476,"116.361383,40.032001;116.362384,40.032126;116.362402,40.032126;116.362421,40.032122;116.362435,40.032114;116.362443,40.032102;116.362448,40.032083;116.36248,40.031974;116.362491,40.031958;116.362503,40.031947;116.362522,40.031939;116.362546,40.031939;116",4,商务住宅,11
B000A6C5EC,盈科中心,商务住宅;楼宇;商务写字楼,北京市朝阳区工人体育场北路甲2号,,,,,,116.458974,39.932654,116.452818742027,39.9313180431817,116.465574888242,39.9382987024657,"116.457824,39.933449;116.457825,39.933462;116.457843,39.933469;116.45847,39.933465;116.458484,39.93347;116.458493,39.933483;116.458493,39.933536;116.4585,39.933546;116.458515,39.933552;116.45942,39.933538;116.459452,39.933531;116.459468,39.933522;116.459",5,商务住宅,11
B000A5B180,北京市第五中学,科教文化服务;学校;中学,北京市东城区细管胡同13号,,,,,,116.414411,39.937846,116.408168304911,39.9364438563131,116.420806363013,39.9440944994634,"116.413606,39.93837;116.413611,39.937383;116.414823,39.937406;116.414831,39.937148;116.414837,39.93713;116.414843,39.93712;116.414853,39.937117;116.414865,39.937115;116.415155,39.937125;116.415167,39.937127;116.415175,39.93713;116.415177,39.93714;116.415",6,科教文化,7
B0FFFCYA5Q,金彩虹嘉园,商务住宅;住宅区;住宅小区,北京市房山区周口店镇拴马庄村新泗路,,,,,,115.89362,39.66283,115.88770683094,39.6618291201898,115.900094787716,39.6688945504062,"115.892558,39.663412;115.892528,39.663224;115.892393,39.663239;115.892431,39.662938;115.892385,39.662604;115.892394,39.662575;115.892372,39.662499;115.894757,39.662192;115.89479,39.662306;115.89468,39.662335;115.894823,39.662941;115.894798,39.663153;115.",7,商务住宅,11
B000A8Y98A,望泉寺村村民委员会,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,北京市顺义区南法信,,,,,,116.62051,40.118715,116.614678542194,40.1176541788986,116.626964037362,40.1249037986154,"116.620157,40.118691;116.620082,40.118754;116.620074,40.118766;116.620074,40.118783;116.620268,40.118963;116.620547,40.119159;116.620561,40.119159;116.620578,40.119155;116.620719,40.118995;116.620939,40.118512;116.620937,40.118504;116.620931,40.118494;11",8,政府机构,14
B000A7F0AH,北京市第二十一中学,科教文化服务;学校;中学,北京市东城区交道口北三条57号,,,,,,116.412853,39.943736,116.40660845623,39.9423328520251,116.419245063693,39.950004209487,"116.413406,39.94343;116.412298,39.943415;116.412306,39.944052;116.413413,39.944048;116.413406,39.94343",9,科教文化,7
